"10-K","AMERICAN REALTY CAPITAL HEALTHCARE TRUST INC","1499875","2014-02-26","edgar/data/1499875/0001499875-14-000003.txt"
"10-K","AMERICAN REALTY CAPITAL NEW YORK RECOVERY REIT INC","1474464","2014-02-28","edgar/data/1474464/0001474464-14-000007.txt"
"10-K","AMERICAN REALTY INVESTORS INC","1102238","2014-03-31","edgar/data/1102238/0001010549-14-000141.txt"
"10-K","AMERICAN RESTAURANT CONCEPTS INC","1452872","2014-03-31","edgar/data/1452872/0001188112-14-000895.txt"
"10-K","AMERICAN RIVER BANKSHARES","1108236","2014-02-28","edgar/data/1108236/0001019056-14-000304.txt"
"10-K","AMERICAN SHARED HOSPITAL SERVICES","744825","2014-03-31","edgar/data/744825/0001144204-14-019552.txt"
"10-K","AMERICAN SOIL TECHNOLOGIES INC","1031896","2014-01-14","edgar/data/1031896/0001165527-14-000015.txt"
"10-K","AMERICAN STATES WATER CO","1056903","2014-02-26","edgar/data/1056903/0001056903-14-000004.txt"
"10-K","AMERICAN TOWER CORP /MA/","1053507","2014-02-26","edgar/data/1053507/0001193125-14-068001.txt"
"10-K","AMERICAN VANGUARD CORP","5981","2014-02-28","edgar/data/5981/0001193125-14-077597.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124173.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124176.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124181.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124182.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124196.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124202.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124206.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124238.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124254.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124259.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124261.txt"
"10-K","AMERICREDIT FINANCIAL SERVICES INC","1002761","2014-03-31","edgar/data/1002761/0001193125-14-124265.txt"
